indicator_id,dataset_id
I1001,"D0005,D0037,D0071"
I1004,"D0013,D0029,D0040,D0071,D0088"
I1005,"D0013,D0071,D0076,D0088"
I1006,"D0013,D0036,D0071,D0088"
I1008,"D0013,D0026,D0071,D0088"
I1010,"D0013,D0071"
I1013,"D0027,D0027,D0035 - Check with other ID from C3S,D0038,D0072"
I1014,"D0035,D0073"
I1016,"D0025,D0069"
I1020,D0071
I1025,"D0012,D0041,D0069,D0070,D0071"
I1026,"D0069,D0070,D0071"
I1028,"D0071,D0089"
I1030,"D0017,D0070,D0071"
I1035,"D0018,D0071"
I1039,"D0005,D0011,D0012,D0071"
I1040,"D0011,D0013,D0071,D0088"
I1043,"D0040,D0049,D0077"
I1044,"D0004,D0033,D0071,D0090"
I1045,"D0051,D0052,D0061,D0062,D0064,D0065,D0071,D0091"
I1046,"D0043,D0044"
I1048,"D0003,D0018"
I1052,"D0008,D0047"
I1053,"D0015,D0032"
I1054,D0071
I1057,"D0015,D0033"
I1059,"D0073,D0074,D0075,D0087"
I1074,D0086
I1075,"D0078,D0079"
I1078,"D0071,D0080"
I1079,D0081
I1080,D0080
I1081,"D0018,D0066,D0082,D0092,D0094"
I1082,"D0066,D0068,D0071"
I1084,"D0040,D0071,D0080,D0083,D0084"
I1085,"D0080,D0083,D0084,not but C3S data could be displayed in parrallell"
I1086,D0040
I1087, D0040
I1088,"D0040,D0080"
I1089,D0080
I1090,D0080
I1091,D0080
I1092,D0080
I1093,D0080
I1094,"D0040,D0080,I1097,I1098,I1099"
I1095,"D0040,D0080"
I1096,"D0040,D0080"
I1097,"D0040,D0080"
I1098,D0080
I1099,"D0040,D0080"
I1100,"D0071,D0085"
